timestamp,values
01/10/2019 00:00:03,9242.4
01/10/2019 00:01:06,9264.5
01/10/2019 00:02:07,9109.4
01/10/2019 00:03:07,8539
01/10/2019 00:04:07,8521.2
01/10/2019 00:05:07,9186.2
01/10/2019 00:06:08,7795.9
01/10/2019 00:07:07,7806.5
01/10/2019 00:08:06,7581.6
01/10/2019 00:09:07,7553.1
01/10/2019 00:10:06,7589.5
01/10/2019 00:11:07,8542.7
01/10/2019 00:12:11,8506.4
01/10/2019 00:13:06,8371
01/10/2019 00:14:07,8057.9
01/10/2019 00:15:08,8015.9
01/10/2019 00:16:06,7973
01/10/2019 00:17:07,7630.3
01/10/2019 00:18:06,7219.8
01/10/2019 00:19:09,7258
01/10/2019 00:20:07,7303.1
01/10/2019 00:21:07,7387.2
01/10/2019 00:22:07,7263.8
01/10/2019 00:23:07,6791.5
01/10/2019 00:24:06,7128.4
01/10/2019 00:25:08,6933.1
01/10/2019 00:26:07,6953.5
01/10/2019 00:27:06,6916.3
01/10/2019 00:28:06,6906.3
01/10/2019 00:29:07,6903.6
01/10/2019 00:30:15,6607.8
01/10/2019 00:31:08,5863.2
01/10/2019 00:32:07,5510.5
01/10/2019 00:33:07,5518.5
01/10/2019 00:34:07,5494.7
01/10/2019 00:35:07,5150.3
01/10/2019 00:36:07,5741.7
01/10/2019 00:37:06,6127.7
01/10/2019 00:38:08,6575.3
01/10/2019 00:39:14,6134.9
01/10/2019 00:40:08,6525.8
01/10/2019 00:41:09,7573
01/10/2019 00:42:08,6037.6
01/10/2019 00:43:08,6713.5
01/10/2019 00:44:07,5599.9
01/10/2019 00:45:09,5958.2
01/10/2019 00:46:10,5941.6
01/10/2019 00:47:08,5831.3
01/10/2019 00:48:08,5868.8
01/10/2019 00:49:08,6116.7
01/10/2019 00:50:08,6085
01/10/2019 00:51:09,6119.1
01/10/2019 00:52:08,7262.3
01/10/2019 00:53:08,7779.9
01/10/2019 00:54:09,9337.2
01/10/2019 00:55:11,11463.1
01/10/2019 00:56:09,9180.6
01/10/2019 00:57:09,7910.7
01/10/2019 00:58:09,7844.9
01/10/2019 00:59:12,8279
01/10/2019 01:00:09,8759.6
01/10/2019 01:01:10,8340.1
01/10/2019 01:02:08,8257.1
01/10/2019 01:03:08,8101.3
01/10/2019 01:04:09,8239.7
01/10/2019 01:05:09,7522.4
01/10/2019 01:06:09,7065.1
01/10/2019 01:07:08,8232.6
01/10/2019 01:08:10,9982.5
01/10/2019 01:09:09,8555.1
01/10/2019 01:10:09,7462.5
01/10/2019 01:11:14,7859.2
01/10/2019 01:12:11,7420.2
01/10/2019 01:13:10,7311.2
01/10/2019 01:14:09,7562.9
01/10/2019 01:15:10,7607.3
01/10/2019 01:16:09,7201.6
01/10/2019 01:17:10,7155.4
01/10/2019 01:18:09,7119.8
01/10/2019 01:19:11,7450.3
01/10/2019 01:20:10,7487.6
01/10/2019 01:21:09,7475.8
01/10/2019 01:22:10,7486.7
01/10/2019 01:23:11,7470.9
01/10/2019 01:24:09,8970.3
01/10/2019 01:25:10,8384.5
01/10/2019 01:26:09,7915.9
01/10/2019 01:27:10,7981.5
01/10/2019 01:28:10,7952.6
01/10/2019 01:29:09,7947.2
01/10/2019 01:30:10,7759.7
01/10/2019 01:31:10,8008.6
01/10/2019 01:32:11,6857.5
01/10/2019 01:33:10,7331.6
01/10/2019 01:34:10,6543.1
01/10/2019 01:35:10,6516.1
01/10/2019 01:36:10,6794.7
01/10/2019 01:38:10,7704.5
01/10/2019 01:39:19,6409.3
01/10/2019 01:40:10,6884.9
01/10/2019 01:41:11,7851.3
01/10/2019 01:42:12,7805.8
01/10/2019 01:43:10,8152.4
01/10/2019 01:44:09,8866.7
01/10/2019 01:45:12,8080
01/10/2019 01:46:10,7820.6
01/10/2019 01:47:11,8126.2
01/10/2019 01:48:10,8074.9
01/10/2019 01:49:10,7773.6
01/10/2019 01:50:12,8225.7
01/10/2019 01:51:11,8208.1
01/10/2019 01:52:10,9283
01/10/2019 01:53:09,8638.2
01/10/2019 01:54:10,8635.8
01/10/2019 01:55:11,9005.1
01/10/2019 01:56:11,8528.3
01/10/2019 01:57:10,8915.8
01/10/2019 01:58:11,7593.8
01/10/2019 01:59:13,7550.3
01/10/2019 02:00:11,7568.7
01/10/2019 02:01:12,8047.2
01/10/2019 02:02:11,8110.5
01/10/2019 02:03:10,8076.2
01/10/2019 02:04:18,8174.7
01/10/2019 02:05:18,7633.9
01/10/2019 02:06:18,8433
01/10/2019 02:07:18,8598.2
01/10/2019 02:08:17,7328.4
01/10/2019 02:09:17,7346.6
01/10/2019 02:10:18,7306.7
01/10/2019 02:11:19,7573
01/10/2019 02:12:18,7558.8
01/10/2019 02:13:19,7570.6
01/10/2019 02:14:18,7175.6
01/10/2019 02:15:19,7660.8
01/10/2019 02:16:19,7680.1
01/10/2019 02:17:18,7632.7
01/10/2019 02:18:17,7641
01/10/2019 02:19:21,7463.1
01/10/2019 02:20:19,7748.3
01/10/2019 02:21:19,7246.2
01/10/2019 02:22:19,7731.3
01/10/2019 02:23:20,7906
01/10/2019 02:24:19,8018.7
01/10/2019 02:25:20,8070.2
01/10/2019 02:26:20,8028.3
01/10/2019 02:27:20,7935.6
01/10/2019 02:28:20,9610
01/10/2019 02:29:20,8399.5
01/10/2019 02:30:20,8138.4
01/10/2019 02:31:20,8097.6
01/10/2019 02:32:19,8069.3
01/10/2019 02:33:19,7657.1
01/10/2019 02:34:20,7648.7
01/10/2019 02:35:21,7392.3
01/10/2019 02:36:20,7896.6
01/10/2019 02:37:21,7912.9
01/10/2019 02:38:20,7959.2
01/10/2019 02:39:28,8355.1
01/10/2019 02:40:21,8383
01/10/2019 02:41:21,8360.1
01/10/2019 02:42:19,8096.6
01/10/2019 02:43:20,8672.7
01/10/2019 02:44:20,8628.3
01/10/2019 02:45:20,8096.4
01/10/2019 02:46:20,8048.9
01/10/2019 02:47:21,8032.2
01/10/2019 02:48:21,8189.5
01/10/2019 02:49:19,7920.2
01/10/2019 02:50:20,8143.8
01/10/2019 02:51:21,8237.8
01/10/2019 02:52:21,8511.8
01/10/2019 02:53:20,8584.3
01/10/2019 02:54:21,8604.7
01/10/2019 02:55:21,10555.4
01/10/2019 02:56:20,10131.4
01/10/2019 02:57:20,11105.6
01/10/2019 02:58:21,9555.7
01/10/2019 02:59:28,9526.1
01/10/2019 03:00:22,9516
01/10/2019 03:01:21,9492
01/10/2019 03:02:21,9350.8
01/10/2019 03:03:20,9820.5
01/10/2019 03:04:21,10289.5
01/10/2019 03:05:29,10265.7
01/10/2019 03:06:21,10314.6
01/10/2019 03:07:21,10311.9
01/10/2019 03:08:23,10253.5
01/10/2019 03:09:21,9770.7
01/10/2019 03:10:21,9383.8
01/10/2019 03:11:21,7969.8
01/10/2019 03:12:21,9621.6
01/10/2019 03:13:20,10046.4
01/10/2019 03:14:22,10848.1
01/10/2019 03:15:22,10137.8
01/10/2019 03:16:23,9793.2
01/10/2019 03:17:22,9773.3
01/10/2019 03:18:22,9772.2
01/10/2019 03:19:28,9761
01/10/2019 03:20:22,9913.8
01/10/2019 03:21:23,9356.6
01/10/2019 03:22:24,9330.8
01/10/2019 03:23:21,8930.2
01/10/2019 03:24:21,9256.8
01/10/2019 03:25:26,9728.8
01/10/2019 03:26:23,10456.5
01/10/2019 03:27:22,9272.9
01/10/2019 03:28:22,10214
01/10/2019 03:29:22,12658.5
01/10/2019 03:30:22,8406.6
01/10/2019 03:31:24,8009.7
01/10/2019 03:32:22,7949.2
01/10/2019 03:33:22,8939.8
01/10/2019 03:34:22,7343
01/10/2019 03:35:23,7865.2
01/10/2019 03:36:22,7761.4
01/10/2019 03:37:22,6674
01/10/2019 03:38:22,6255.4
01/10/2019 03:39:30,6925.6
01/10/2019 03:40:23,7028.1
01/10/2019 03:41:24,6314.4
01/10/2019 03:42:24,6657.2
01/10/2019 03:43:22,6276.3
01/10/2019 03:44:23,6145.1
01/10/2019 03:45:24,6592.3
01/10/2019 03:46:25,6244.3
01/10/2019 03:47:24,8059.7
01/10/2019 03:48:24,6918.4
01/10/2019 03:49:24,7252.2
01/10/2019 03:50:23,7227.3
01/10/2019 03:51:24,7158.9
01/10/2019 03:52:24,7625.1
01/10/2019 03:53:23,7867.8
01/10/2019 03:54:24,7179.3
01/10/2019 03:55:24,8788.6
01/10/2019 03:56:24,8474.2
01/10/2019 03:57:24,8820.6
01/10/2019 03:58:23,8442.5
01/10/2019 03:59:31,8371.9
01/10/2019 04:00:25,7986.7
01/10/2019 04:01:25,7890.1
01/10/2019 04:02:23,7914.2
01/10/2019 04:04:25,7912.7
01/10/2019 04:05:25,7673.2
01/10/2019 04:06:25,7665.9
01/10/2019 04:07:25,7692.1
01/10/2019 04:08:25,8186.5
