time,rad,ta,hr,pa,vv10,vv100,valor,pred,month,week,year,day,hour
2017-01-01 01:00:00,0.0,12.539185,99.450356,79.84071999999999,0.44110850235913107,1.7161236775659008,9.133333333333333,8.5,1,52,2017,6,1
2017-01-01 02:00:00,0.0,12.480072,96.771736,79.80022,0.3954260537335552,1.9914755820211532,8.833333333333334,9.133333333333333,1,52,2017,6,2
2017-01-01 03:00:00,0.0,12.319702000000001,97.73025,79.80022,0.6493637564388699,1.804903865215083,8.7,8.833333333333334,1,52,2017,6,3
2017-01-01 04:00:00,0.0,13.766174,96.50036,79.81237,0.46129845311362316,1.1330493531669539,9.9,8.7,1,52,2017,6,4
2017-01-01 05:00:00,0.0,13.999512,94.76096,79.8685,0.37284416765967443,1.6925595827248916,9.633333333333333,9.9,1,52,2017,6,5
2017-01-01 06:00:00,22.963125,14.467407000000001,90.50289000000001,79.93678,0.5359167635719958,2.2699575472857028,26.333333333333332,9.633333333333333,1,52,2017,6,6
2017-01-01 07:00:00,158.63055,14.733917000000002,91.93411,79.994064,1.0113231798945574,2.1803036182493742,202.93333333333334,26.333333333333332,1,52,2017,6,7
2017-01-01 08:00:00,428.08475,18.776093,73.48633000000001,80.025314,1.1722635152853018,1.652989000905857,435.73333333333335,202.93333333333334,1,52,2017,6,8
2017-01-01 09:00:00,639.7187,21.212006,64.57507,80.01374,1.0570260652691275,1.4973143379722942,679.4666666666667,435.73333333333335,1,52,2017,6,9
2017-01-01 10:00:00,805.5747,22.591583,63.19965,79.992325,1.0456122218746728,1.4641522561564593,793.2666666666667,679.4666666666667,1,52,2017,6,10
2017-01-01 11:00:00,851.2701400000001,23.939757999999998,53.961926,79.91942,1.1905639792587208,1.6610861706029036,789.8,793.2666666666667,1,52,2017,6,11
2017-01-01 12:00:00,921.4298,24.553589000000002,52.548140000000004,79.856346,1.364916674898721,1.8904108232363144,651.3666666666667,789.8,1,52,2017,6,12
2017-01-01 13:00:00,806.9274,24.695861999999998,52.650771999999996,79.77649,1.2871468483839026,1.8161929130135834,602.2,651.3666666666667,1,52,2017,6,13
2017-01-01 14:00:00,629.77124,24.68863,52.301712,79.70821,1.1680119983289199,1.6835802820235766,310.4,602.2,1,52,2017,6,14
2017-01-01 15:00:00,464.17917,23.487548999999998,68.15399000000001,79.70241999999999,1.312112256266249,1.8117972354011889,376.6333333333333,310.4,1,52,2017,6,15
2017-01-01 16:00:00,211.78236,20.07306,82.01469399999999,79.766075,0.9134454788591218,1.207634429511445,182.06666666666666,376.6333333333333,1,52,2017,6,16
2017-01-01 17:00:00,55.84069399999999,19.313934,83.889595,79.80426999999999,1.5819038788414075,2.939791691443875,45.666666666666664,182.06666666666666,1,52,2017,6,17
2017-01-01 18:00:00,0.0,17.981415,87.193855,79.92174,1.3276880543801142,2.810737025067996,8.166666666666666,45.666666666666664,1,52,2017,6,18
2017-01-01 19:00:00,0.0,17.718536,87.799576,79.9634,1.1075322635664084,2.28958244135377,7.9411764705882355,8.166666666666666,1,52,2017,6,19
2017-01-01 20:00:00,0.0,16.55542,94.06121,80.02705,1.4674791281374393,1.87375770747801,8.233333333333333,7.9411764705882355,1,52,2017,6,20
2017-01-01 21:00:00,0.0,16.029663,95.06694,80.08144,1.310521608680932,1.5479244699428982,8.3,8.233333333333333,1,52,2017,6,21
2017-01-01 22:00:00,0.0,15.708282,94.79543000000001,80.056564,1.381467127657456,1.6783008207447947,8.7,8.3,1,52,2017,6,22
2017-01-01 23:00:00,0.0,15.467101999999999,94.91881,80.0392,1.310135353928762,1.7186287987361797,9.2,8.7,1,52,2017,6,23
2017-01-02 00:00:00,0.0,15.438170999999999,97.3856,80.00101,1.3015795235455216,1.8288845062845005,8.566666666666666,9.2,1,1,2017,0,0
2017-01-02 01:00:00,0.0,15.480376999999999,96.94671,79.92636,1.1988596469784816,1.9207371325284648,8.833333333333334,8.566666666666666,1,1,2017,0,1
2017-01-02 02:00:00,0.0,14.327515,98.87169,79.88586,1.126522152611138,2.00496877890668,9.2,8.833333333333334,1,1,2017,0,2
